Week,Interest
2015-01-25,27
2015-02-01,29
2015-02-08,27
2015-02-15,27
2015-02-22,30
2015-03-01,31
2015-03-08,30
2015-03-15,26
2015-03-22,31
2015-03-29,29
2015-04-05,33
2015-04-12,35
2015-04-19,36
2015-04-26,34
2015-05-03,28
2015-05-10,31
2015-05-17,29
2015-05-24,30
2015-05-31,34
2015-06-07,31
2015-06-14,29
2015-06-21,31
2015-06-28,29
2015-07-05,29
2015-07-12,30
2015-07-19,30
2015-07-26,29
2015-08-02,30
2015-08-09,30
2015-08-16,29
2015-08-23,34
2015-08-30,31
2015-09-06,39
2015-09-13,37
2015-09-20,35
2015-09-27,38
2015-10-04,33
2015-10-11,38
2015-10-18,35
2015-10-25,40
2015-11-01,38
2015-11-08,47
2015-11-15,38
2015-11-22,29
2015-11-29,36
2015-12-06,40
2015-12-13,40
2015-12-20,26
2015-12-27,21
2016-01-03,32
2016-01-10,36
2016-01-17,35
2016-01-24,41
2016-01-31,41
2016-02-07,36
2016-02-14,38
2016-02-21,38
2016-02-28,42
2016-03-06,40
2016-03-13,42
2016-03-20,41
2016-03-27,42
2016-04-03,45
2016-04-10,40
2016-04-17,40
2016-04-24,39
2016-05-01,41
2016-05-08,42
2016-05-15,45
2016-05-22,42
2016-05-29,37
2016-06-05,46
2016-06-12,41
2016-06-19,48
2016-06-26,43
2016-07-03,34
2016-07-10,39
2016-07-17,36
2016-07-24,38
2016-07-31,40
2016-08-07,39
2016-08-14,38
2016-08-21,43
2016-08-28,42
2016-09-04,45
2016-09-11,50
2016-09-18,50
2016-09-25,51
2016-10-02,50
2016-10-09,54
2016-10-16,56
2016-10-23,59
2016-10-30,54
2016-11-06,55
2016-11-13,62
2016-11-20,49
2016-11-27,60
2016-12-04,58
2016-12-11,58
2016-12-18,50
2016-12-25,37
2017-01-01,50
2017-01-08,59
2017-01-15,62
2017-01-22,64
2017-01-29,71
2017-02-05,69
2017-02-12,67
2017-02-19,64
2017-02-26,70
2017-03-05,69
2017-03-12,70
2017-03-19,73
2017-03-26,77
2017-04-02,75
2017-04-09,75
2017-04-16,74
2017-04-23,78
2017-04-30,76
2017-05-07,75
2017-05-14,80
2017-05-21,77
2017-05-28,71
2017-06-04,80
2017-06-11,74
2017-06-18,78
2017-06-25,74
2017-07-02,62
2017-07-09,78
2017-07-16,76
2017-07-23,76
2017-07-30,77
2017-08-06,70
2017-08-13,69
2017-08-20,68
2017-08-27,76
2017-09-03,75
2017-09-10,82
2017-09-17,81
2017-09-24,83
2017-10-01,88
2017-10-08,88
2017-10-15,90
2017-10-22,90
2017-10-29,89
2017-11-05,95
2017-11-12,93
2017-11-19,70
2017-11-26,92
2017-12-03,89
2017-12-10,87
2017-12-17,74
2017-12-24,53
2017-12-31,62
2018-01-07,76
2018-01-14,80
2018-01-21,87
2018-01-28,89
2018-02-04,90
2018-02-11,92
2018-02-18,83
2018-02-25,89
2018-03-04,94
2018-03-11,89
2018-03-18,90
2018-03-25,91
2018-04-01,91
2018-04-08,90
2018-04-15,88
2018-04-22,95
2018-04-29,90
2018-05-06,96
2018-05-13,89
2018-05-20,87
2018-05-27,80
2018-06-03,88
2018-06-10,87
2018-06-17,87
2018-06-24,84
2018-07-01,75
2018-07-08,81
2018-07-15,83
2018-07-22,86
2018-07-29,84
2018-08-05,88
2018-08-12,81
2018-08-19,83
2018-08-26,88
2018-09-02,83
2018-09-09,90
2018-09-16,96
2018-09-23,92
2018-09-30,94
2018-10-07,93
2018-10-14,94
2018-10-21,95
2018-10-28,93
2018-11-04,91
2018-11-11,89
2018-11-18,69
2018-11-25,98
2018-12-02,97
2018-12-09,90
2018-12-16,78
2018-12-23,52
2018-12-30,60
2019-01-06,83
2019-01-13,84
2019-01-20,88
2019-01-27,94
2019-02-03,93
2019-02-10,95
2019-02-17,94
2019-02-24,91
2019-03-03,98
2019-03-10,93
2019-03-17,96
2019-03-24,92
2019-03-31,96
2019-04-07,95
2019-04-14,93
2019-04-21,100
2019-04-28,93
2019-05-05,91
2019-05-12,86
2019-05-19,81
2019-05-26,81
2019-06-02,91
2019-06-09,92
2019-06-16,93
2019-06-23,94
2019-06-30,76
2019-07-07,88
2019-07-14,90
2019-07-21,87
2019-07-28,81
2019-08-04,83
2019-08-11,84
2019-08-18,87
2019-08-25,88
2019-09-01,82
2019-09-08,87
2019-09-15,99
2019-09-22,97
2019-09-29,93
2019-10-06,99
2019-10-13,99
2019-10-20,96
2019-10-27,91
2019-11-03,94
2019-11-10,91
2019-11-17,91
2019-11-24,71
2019-12-01,97
2019-12-08,90
2019-12-15,81
2019-12-22,53
2019-12-29,59
2020-01-05,83
2020-01-12,91
2020-01-19,89
